eventDate,venue,city,country,tour_name,festival,days_since_last_concert,new_album,month,year,days_since_new_album,4 no Uta,Akatsuki,Akumu no Rondo,Amore -Sousei-,Arkadia,Awadama Fever,BABYMETAL DEATH,Believing,Brand New Day,Breaking the Law,BxMxC,Catch Me If You Can,Chokotto Love,DA DA DANCE,Distortion,Divine Attack - Shingeki -,Doki Doki ☆ Morning,Doki Doki ☆ Morning / Iine!,Elevator Girl,Episode II Intro Video,FUTURE METAL,From Dusk Till Dawn,GJ!,Gimme Chocolate!!,Headbangeeeeerrrrr!!!!!,IN THE NAME OF,Iine!,"Ijime, Dame, Zettai",Intro Video,KARATE,Kagerou,Kimi to Anime ga Mitai~Answer for Animation With You,Kon! Kon!,LOVE Machine,Light and Darkness,MAYA,META! Meta Taro,METAL KINGDOM,METALI!!,METALIZM,Megitsune,Mirror Mirror,Mischiefs of Metal Gods,Monochrome,"NO RAIN, NO RAINBOW",Night Night Burn!,Oh! MAJINAI,Onedari Daisakusen,Over The Future,PA PA YA!!,Painkiller,Painkiller / Breaking the Law,RATATATA,Revolutionary Étude,Road of Resistance,Shanti Shanti Shanti,Shine,Sis. Anger,Song 3,Starlight,Syncopation,THE LEGEND,THE ONE,Tales of The Destinies,Tamashii no Refrain,The Hill of Wisteria,Time Wave,Uki Uki ★ Midnight,Video,White Love,YAVA!
2012-08-20,Shibuya WWW,Tokyo,Japan,Single,False,1.0,False,8,2012,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-06,Shibuya O-EAST,Tokyo,Japan,Single,False,47.0,False,10,2012,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-10-27,The Garden Hall,Tokyo,Japan,Single,False,21.0,False,10,2012,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-10,Singapore Expo Max Pavilion,Singapore,Singapore,Single,False,14.0,False,11,2012,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-12-20,Akasaka BLITZ,Tokyo,Japan,Single,False,40.0,False,12,2012,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2012-12-25,Hachikou,Tokyo,Japan,Single,False,5.0,False,12,2012,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-27,Nippon Budokan,Tokyo,Japan,Single,True,2.0,False,12,2012,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-07,Shibuya CLUB QUATTRO,Tokyo,Japan,Single,False,11.0,False,1,2013,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-12,Cutup Studio,Tokyo,Japan,Single,False,5.0,False,1,2013,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,FANJ twice,Osaka,Japan,Single,False,2.0,False,1,2013,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
